according to
per
as discussed by
as mentioned by
is reporting that
said in an email
the source said
the report
that report
told
said
has claimed
has said
voiced by
concludes
have concluded
reported
sources close to
crediting
citing
issued a statement
in an interview
in a statement
the article
prepared by
