According to
Per
As discussed by
As mentioned by
Is reporting that
Said in an email
The source said
The report
That report
Told
Said
Has claimed
Has said
Voiced by
concludes
Have concluded
Reported
Sources close to
Crediting
Citing
Issued a statement
In an interview
In a statement
The article
Prepared by
